STT,Mã,Tên,Loại biển,Thông tin,Wiki,số lượng,loại biển
1,P.101,Đường cấm,Biển báo cấm,,Có,31,1
2,P.102,Cấm đi ngược chiều,Biển báo cấm,,Có,38,1
3,P.103a,Cấm xe ô tô,Biển báo cấm,,Có,41,1
4,P.103b,Cấm xe ô tô rẽ phải,Biển báo cấm,,Có,30,1
5,P.103c,Cấm xe ô tô rẽ trái,Biển báo cấm,,Có,30,1
6,P.104,Cấm mô tô,Biển báo cấm,,Có,30,1
7,P.105,Cấm xe ô tô và mô tô,Biển báo cấm,,Có,32,1
8,P.106a,Cấm xe tải,Biển báo cấm,,Có,32,1
9,P.106b,"Cấm xe tải trên 2,5T",Biển báo cấm,,Có,37,1
10,P.106c,Cấm xe tải chở hàng nguy hiểm,Biển báo cấm,,Có,30,1
11,P.107,Cấm xe khách và xe tải,Biển báo cấm,,Có,30,1
12,P.107a,Cấm xe khách,Biển báo cấm,,Có,30,1
13,P.107b,Cấm xe taxi,Biển báo cấm,,Có,31,1
14,P.108,Cấm xe kéo rơ-moóc,Biển báo cấm,,Có,31,1
15,P.109,Cấm máy kéo,Biển báo cấm,,Có,30,1
16,P.110a,Cấm xe đạp,Biển báo cấm,,Có,31,1
17,P.110b,Cấm xe đạp thồ,Biển báo cấm,,Có,30,1
18,P.111a,Cấm xe gắn máy,Biển báo cấm,,Có,31,1
19,P.111b,Cấm xe lam,Biển báo cấm,,Có,30,1
20,P.111c,Cấm xe lôi máy,Biển báo cấm,,Có,30,1
21,P.111d,Cấm xe xích lô,Biển báo cấm,,Có,31,1
22,P.112,Cấm người đi bộ,Biển báo cấm,,Có,30,1
23,P.113,Cấm xe người kéo/đẩy,Biển báo cấm,,Có,32,1
24,P.114,Cấm xe súc vật kéo,Biển báo cấm,,Có,31,1
25,P.115,Hạn chế trọng lượng xe,Biển báo cấm,,Có,33,1
26,P.116,Hạn chế trọng lượng trên trục xe,Biển báo cấm,,Có,31,1
27,P.117,Hạn chế chiều cao xe,Biển báo cấm,,Có,34,1
28,P.118,Hạn chế chiều ngang xe,Biển báo cấm,,Có,30,1
29,P.119,Hạn chế chiều dài xe,Biển báo cấm,,Có,31,1
30,P.120,Hạn chế chiều dài xe cơ giới kéo theo rơ-moóc hoặc sơ-mi rơ moóc,Biển báo cấm,,Có,34,1
31,P.121,Cự ly tối thiểu giữa hai xe,Biển báo cấm,,Có,31,1
32,P.123a,Cấm rẽ trái,Biển báo cấm,,Có,35,1
33,P.123b,Cấm rẽ phải,Biển báo cấm,,Có,34,1
